index,Filename,WaterLevel,VA,RB,OB,PF,DE,FS,IS,RO,IN,AF,BE,FO,GR,PH,PB,OS,OP,OK,ND,Defect
0,00009089_FS_GR.png,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,00036836_OB_FS_OK.png,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,00038805_FS_OK.png,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,00044207_RB_OB_FS_PH.png,10,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4,00048464_FS_OK.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5,00065440_OB_FS_RO.png,10,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6,00111193_FS_OK.png,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
7,00119892_OB_FS.png,20,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,00127576_OB_FS_BE.png,30,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9,00128705_FS_RO_OK.png,10,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
10,00133052_FS_IS_OK.png,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
11,00138886_OB_FS_BE_OK.png,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
12,00139256_OB_FS.png,10,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,00152179_OB_FS_OK.png,10,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
14,00167305_OB_FS_IS_AF.png,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
15,00190030_RB_BE.png,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
16,00226621_FS_BE_OK.png,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
17,00244078_FS_OK.png,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
18,00362056_FS_BE.png,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
19,00402268_FS_OK.png,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
20,00408699_OB_FS.png,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,00414118_PF_BE.png,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
22,00418057_RB_PH.png,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
23,00429406_OB_FS.png,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,00442796_FS_BE.png,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
25,00477194_RO_IN.png,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
26,00498548_OB_BE_GR.png,10,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
27,00501385_OB_FS_GR.png,30,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
28,00501615_OB_FS_IN.png,10,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
29,00544362_DE_AF.png,10,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
30,00637718_OB_FS_OK.png,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
31,00642855_RB_OB_FS.png,10,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,00648193_OB_FS.png,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,00669557_FS_OK.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
34,00674141_FS_OK.png,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
35,00699840_PF_DE_FO_OP.png,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
36,00702345_OB_FS_BE.png,10,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
37,00766059_OB_FS_OK.png,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
38,00769884_OB_IN_BE.png,10,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
39,00772264_FS_PH.png,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
40,00871376_RB_OK.png,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
41,00902929_FS_OK.png,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
42,01049046_FS_OK.png,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
43,01118961_OB_FS.png,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,01152313_OB_FS.png,10,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,01152955_OB_FS.png,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,01169521_OB_RO_BE.png,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
47,01187155_RB_FS_AF_GR.png,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
48,01266104_RB_OB_FS_GR.png,20,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
49,01270368_OB_FS_IN_BE_GR.png,10,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1
